name,handle,date,text,replys,retweets,likes
Maggie Haberman,@maggieNYT,2021-07-09 18:01:33+00:00,"Maggie HabermanAs Trump issues statements denying specifics on the Bender book (which Bender has made clear he stands by), Trump has notably not addressed the Hitler anecdote.
463
1.5K
9.5K",463,1.5K,9.5K
Daniel Uhlfelder,@DWUhlfelderLaw,2021-07-09 19:07:45+00:00,"Daniel UhlfelderDonald Trump hates Ron DeSantis
1.1K
1.1K
8.4K",1.1K,1.1K,8.4K
Barbara Malmet,@B52Malmet,2021-07-09 21:25:39+00:00,"Barbara MalmetBiden fires head of Social Security Administration, a Trump holdover who drew the ire of Democrats. “But Saul said in an interview Friday afternoon that he would not leave his post, challenging the legality of the White House move to oust him.” Belligerent
washingtonpost.com
Biden fires head of Social Security Administration, a Trump holdover who drew the ire of Democrats
The White House said Social Security Commissioner Andrew Saul was fired after he refused a request to resign. Saul said in an interview that he would not leave his post.
436
966
2.1K",436,966,2.1K
Scott Dworkin,@funder,2021-07-09 21:56:32+00:00,"Scott DworkinPresident Biden fired trump’s head of the Social Security Admin. Awesome. Now let’s fire DeJoy.
605
7.5K
49.1K",605,7.5K,49.1K
Amee Vanderpool,@girlsreallyrule,2021-07-09 22:08:07+00:00,"Amee VanderpoolAgain: Biden can't fire Louis DeJoy. Only the USPS Board of Governors can remove him and the board is still controlled by Trump appointees who have no problem with DeJoy. Biden can't remove board members ""without cause"" which he doesn't legally have.
slate.com
Why Biden Can’t Fire Postmaster General Louis DeJoy
Trying to force DeJoy out could lead to constitutional chaos.
312
717
1K",312,717,1K
Charlie Kirk,@charliekirk11,2021-07-10 00:53:58+00:00,"Charlie KirkThe people who spent 4 years obsessing over Trump’s taxes always seem to be okay with Nancy Pelosi’s insider trading.
426
6K
21.8K",426,6K,21.8K
Gabe Sanchez,@iamgabesanchez,2021-07-10 00:58:14+00:00,"Gabe Sanchez“Laugh, please.”
-Donald Trump Jr
From 
Acyn
728
731
2.7K",728,731,2.7K
Fox News,@FoxNews,2021-07-10 01:35:31+00:00,"Fox NewsDonald Trump Jr. tears into Avenatti, Fauci, Hunter Biden, and CNN in a fiery CPAC Dallas speech
foxnews.com
Donald Trump Jr. tears into Avenatti, Fauci, Hunter Biden, and CNN in a fiery CPAC Dallas speech
Donald Trump Jr. took aim at several high-profile targets during a fiery speech at CPAC in Dallas.
2.1K
1.2K
6.5K",2.1K,1.2K,6.5K
The Columbia Bugle,@ColumbiaBugle,2021-07-10 01:46:18+00:00,"The Columbia BugleTucker Carlson Reading 
@martyrmade
's Viral Thread On Why So Many Trump Supporters Have Questions About The 2020 Election & Their Distrust Of The Mainstream Media
1K
17K
35.2K",1K,17K,35.2K
Marjorie Taylor Greene,@mtgreenee,2021-07-10 02:06:44+00:00,"Marjorie Taylor Greene.
@martyrmade
 described perfectly how Trump supporters feel and have gone through for the past 5 years.
The Columbia Bugle
@ColumbiaBugle
 · Jul 10
Tucker Carlson Reading @martyrmade's Viral Thread On Why So Many Trump Supporters Have Questions About The 2020 Election & Their Distrust Of The Mainstream Media
Show this thread
1K
2.5K
7.2K",1K,2.5K,7.2K
Agolf Twitler Slayer,@bblock29,2021-07-10 14:25:46+00:00,"Agolf Twitler SlayerDo you think Trump Sr enjoys when he see Trump Jr fail miserably like he did at CPAC last night?
410
347
2.6K",410,347,2.6K
BrooklynDad_Defiant!,@mmpadellan,2021-07-10 15:27:44+00:00,"BrooklynDad_Defiant!Donald Trump Jr and Kimberly Guilfoyle are trash, and CPAC is the landfill. Any questions?
814
3.7K
27.2K",814,3.7K,27.2K
